index,index_type,num_of_rows,search_time,keyword,operation,timestamp,usage,limit,active_anon,active_file,anon,anon_thp,file,file_dirty,file_mapped,file_writeback,inactive_anon,inactive_file,kernel_stack,pgactivate,pgdeactivate,pgfault,pglazyfree,pglazyfreed,pgmajfault,pgrefill,pgscan,pgsteal,shmem,slab,slab_reclaimable,slab_unreclaimable,sock,thp_collapse_alloc,thp_fault_alloc,unevictable,workingset_activate,workingset_nodereclaim,workingset_refault
0,ivfflat,10,0.030916,猫,after_search,2024-07-31 19:02:51+0900,21995520,8219820032,19480576,0,4440064,0,15454208,327680,11137024,0,0,372736,98304,0,0,14519,0,0,0,0,0,0,15081472,1057168,278864,778304,0,0,2,0,0,0,0
1,ivfflat,10,0.026622,猫,after_search,2024-07-31 19:12:30+0900,22831104,8219820032,20168704,0,4472832,0,16232448,0,11186176,0,0,536576,98304,0,0,47631,0,0,0,0,0,0,15695872,1067048,288480,778568,0,0,2,0,0,0,0
2,ivfflat,10,0.029755,猫,after_search,2024-07-31 19:39:27+0900,22839296,8219820032,20123648,0,4464640,0,16224256,0,11186176,0,0,528384,98304,0,0,68013,0,0,0,0,0,0,15695872,1064112,288256,775856,0,0,2,0,0,0,0
3,ivfflat,10,0.024502,猫,after_search,2024-07-31 19:55:43+0900,22839296,8219820032,20127744,0,4464640,0,16224256,0,11186176,0,0,528384,98304,0,0,120253,0,0,0,0,0,0,15695872,1064112,288256,775856,0,0,2,0,0,0,0
4,ivfflat,10,0.025590,猫,after_search,2024-07-31 19:58:49+0900,22839296,8219820032,20160512,0,4464640,0,16224256,0,11186176,0,0,528384,98304,0,0,132440,0,0,0,0,0,0,15695872,1064384,288256,776128,0,0,2,0,0,0,0
5,ivfflat,10,0.016012,犬,after_search,2024-07-31 20:03:02+0900,22913024,8219820032,20193280,0,4464640,0,16297984,0,11186176,0,0,528384,98304,0,0,146773,0,0,0,0,0,0,15769600,1064112,288256,775856,0,0,2,0,0,0,0
6,ivfflat,10,0.030931,猫,after_search,2024-07-31 20:09:04+0900,22769664,8219820032,20135936,0,4440064,0,16220160,0,11157504,0,0,524288,98304,0,0,22399,0,0,0,0,0,0,15695872,1065064,286760,778304,0,0,2,0,0,0,0
7,ivfflat,10,0.022171,犬,after_search,2024-07-31 20:10:20+0900,22843392,8219820032,20172800,0,4440064,0,16293888,0,11157504,0,0,524288,98304,0,0,28283,0,0,0,0,0,0,15769600,1065064,286760,778304,0,0,2,0,0,0,0
8,ivfflat,10,0.025099,猫,after_search,2024-07-31 20:13:13+0900,22888448,8219820032,20238336,0,4468736,0,16297984,0,11186176,0,0,528384,98304,0,0,39726,0,0,0,0,0,0,15769600,1067096,288256,778840,0,0,2,0,0,0,0
9,ivfflat,10,0.010975,犬,after_search,2024-07-31 20:16:48+0900,21942272,8219820032,19496960,0,4440064,0,15421440,319488,11137024,0,0,364544,98304,0,0,14508,0,0,0,0,0,0,15056896,1048272,272672,775600,0,0,2,0,0,0,0
10,ivfflat,10,0.023076,犬,after_search,2024-07-31 20:20:49+0900,22855680,8219820032,20160512,0,4440064,0,16244736,0,11157504,0,0,524288,98304,0,0,29381,0,0,0,0,0,0,15720448,1056392,280792,775600,0,0,2,0,0,0,0
11,ivfflat,10,0.024936,猫,after_search,2024-07-31 20:49:10+0900,22872064,8219820032,20242432,0,4472832,0,16297984,0,11186176,0,0,528384,98304,0,0,121092,0,0,0,0,0,0,15769600,1057472,282288,775184,0,0,2,0,0,0,0
12,ivfflat,10,0.026020,猫,after_search,2024-07-31 20:50:45+0900,22872064,8219820032,20242432,0,4472832,0,16297984,0,11186176,0,0,528384,98304,0,0,126955,0,0,0,0,0,0,15769600,1057880,282288,775592,0,0,2,0,0,0,0
13,ivfflat,10,0.025486,犬,after_search,2024-07-31 20:56:03+0900,22872064,8219820032,20242432,0,4472832,0,16297984,0,11186176,0,0,528384,98304,0,0,145500,0,0,0,0,0,0,15769600,1057880,282288,775592,0,0,2,0,0,0,0
14,ivfflat,10,0.026394,犬,after_search,2024-07-31 21:00:28+0900,23138304,8219820032,20201472,0,4472832,0,16297984,0,11186176,0,0,528384,98304,0,0,161908,0,0,0,0,0,0,15769600,1058240,282288,775952,0,0,2,0,0,0,0
15,ivfflat,10,0.026284,犬,after_search,2024-07-31 21:16:54+0900,22872064,8219820032,20242432,0,4472832,0,16297984,0,11186176,0,0,528384,98304,0,0,215256,0,0,0,0,0,0,15769600,1057880,282288,775592,0,0,2,0,0,0,0
16,ivfflat,10,0.022990,猫,after_search,2024-07-31 21:19:46+0900,22872064,8219820032,20242432,0,4472832,0,16297984,0,11186176,0,0,528384,98304,0,0,225344,0,0,0,0,0,0,15769600,1057880,282288,775592,0,0,2,0,0,0,0
17,ivfflat,10,0.027017,犬,after_search,2024-07-31 21:20:30+0900,22929408,8219820032,20221952,0,4472832,0,16297984,0,11186176,0,0,528384,98304,0,0,230151,0,0,0,0,0,0,15769600,1058976,282288,776688,0,0,2,0,0,0,0
