index,index_type,num_of_rows,search_time,keyword,operation,timestamp,usage,limit,active_anon,active_file,anon,anon_thp,file,file_dirty,file_mapped,file_writeback,inactive_anon,inactive_file,kernel_stack,pgactivate,pgdeactivate,pgfault,pglazyfree,pglazyfreed,pgmajfault,pgrefill,pgscan,pgsteal,shmem,slab,slab_reclaimable,slab_unreclaimable,sock,thp_collapse_alloc,thp_fault_alloc,unevictable,workingset_activate,workingset_nodereclaim,workingset_refault
0,ivfflat,10,0.030916,猫,before_search,2024-07-31 19:02:49+0900,19578880,8219820032,17276928,0,4440064,0,13053952,200704,11137024,0,0,212992,98304,0,0,12196,0,0,0,0,0,0,12840960,1043696,266072,777624,0,0,2,0,0,0,0
1,ivfflat,10,0.026622,猫,before_search,2024-07-31 19:12:28+0900,22831104,8219820032,20168704,0,4472832,0,16232448,0,11186176,0,0,536576,98304,0,0,45989,0,0,0,0,0,0,15695872,1066640,288480,778160,0,0,2,0,0,0,0
2,ivfflat,10,0.029755,猫,before_search,2024-07-31 19:39:25+0900,21143552,8219820032,18468864,0,4464640,0,14532608,0,11186176,0,0,528384,98304,0,0,65879,0,0,0,0,0,0,14004224,1057848,282400,775448,0,0,2,0,0,0,0
3,ivfflat,10,0.024502,猫,before_search,2024-07-31 19:55:41+0900,22843392,8219820032,20160512,0,4464640,0,16224256,0,11186176,0,0,528384,98304,0,0,118609,0,0,0,0,0,0,15695872,1063432,288256,775176,0,0,2,0,0,0,0
4,ivfflat,10,0.025590,猫,before_search,2024-07-31 19:58:47+0900,22843392,8219820032,20160512,0,4464640,0,16224256,0,11186176,0,0,528384,98304,0,0,130796,0,0,0,0,0,0,15695872,1063704,288256,775448,0,0,2,0,0,0,0
5,ivfflat,10,0.016012,犬,before_search,2024-07-31 20:03:00+0900,22839296,8219820032,20160512,0,4464640,0,16224256,0,11186176,0,0,528384,98304,0,0,145088,0,0,0,0,0,0,15695872,1063432,288256,775176,0,0,2,0,0,0,0
6,ivfflat,10,0.030931,猫,before_search,2024-07-31 20:09:02+0900,21065728,8219820032,18444288,0,4440064,0,14528512,0,11157504,0,0,524288,98304,0,0,20268,0,0,0,0,0,0,14004224,1058528,280904,777624,0,0,2,0,0,0,0
7,ivfflat,10,0.022171,犬,before_search,2024-07-31 20:10:18+0900,22765568,8219820032,20135936,0,4440064,0,16220160,0,11157504,0,0,524288,98304,0,0,26604,0,0,0,0,0,0,15695872,1064384,286760,777624,0,0,2,0,0,0,0
8,ivfflat,10,0.025099,猫,before_search,2024-07-31 20:13:11+0900,22892544,8219820032,20238336,0,4468736,0,16297984,0,11186176,0,0,528384,98304,0,0,38084,0,0,0,0,0,0,15769600,1066416,288256,778160,0,0,2,0,0,0,0
9,ivfflat,10,0.010975,犬,before_search,2024-07-31 20:16:46+0900,18735104,8219820032,16654336,0,4431872,0,12247040,0,11137024,0,0,12288,98304,0,0,10816,0,0,0,0,0,0,12234752,1023928,249480,774448,0,0,2,0,0,0,0
10,ivfflat,10,0.023076,犬,before_search,2024-07-31 20:20:47+0900,22720512,8219820032,20111360,0,4440064,0,16195584,0,11157504,0,0,524288,98304,0,0,26659,0,0,0,0,0,0,15671296,1055440,280792,774648,0,0,2,0,0,0,0
11,ivfflat,10,0.024936,猫,before_search,2024-07-31 20:49:08+0900,23130112,8219820032,20156416,0,4472832,0,16248832,0,11186176,0,0,528384,98304,0,0,119425,0,0,0,0,0,0,15720448,1057968,282288,775680,0,0,2,0,0,0,0
12,ivfflat,10,0.026020,猫,before_search,2024-07-31 20:50:43+0900,22876160,8219820032,20242432,0,4472832,0,16297984,0,11186176,0,0,528384,98304,0,0,125309,0,0,0,0,0,0,15769600,1057200,282288,774912,0,0,2,0,0,0,0
13,ivfflat,10,0.025486,犬,before_search,2024-07-31 20:56:01+0900,22872064,8219820032,20242432,0,4472832,0,16297984,0,11186176,0,0,528384,98304,0,0,143858,0,0,0,0,0,0,15769600,1057200,282288,774912,0,0,2,0,0,0,0
